product_name,product_link,shop_name,shop_link,price,est_mo_sales,est_mo_revenue,est_total_sales,reviews,listing_age,favorites,avg_reviews,views,category,description_character_count,shop_age,visibility_score,conversion_rate,total_shop_sales,tags,tag_1,tag_2,tag_3,tag_4,tag_5,tag_6,tag_7,tag_8,tag_9,tag_10,tag_11,tag_12,tag_13
Modern return address stamp | Wedding Stamp | Save the date | Self ink stamper | Wood handle | Housewarming Gift | Family Stamp | Minimal,https://www.etsy.com/listing/1287970412/modern-return-address-stamp-wedding,Stampmyworld,https://www.etsy.com/shop/Stampmyworld,35,467,16429,11280,2683,24 Mo.,9819,111,208266,Craft Supplies & Tools,,25,100,5.42,42104,"return address stamp,custom address stamp,custom stamp,self inking return,personalized stamp,custom address,wedding stamp,return address,housewarming stamp,address stamp,self inking stamp,couple address stamp,save the date stamp",return address stamp,custom address stamp,custom stamp,self inking return,personalized stamp,custom address,wedding stamp,return address,housewarming stamp,address stamp,self inking stamp,couple address stamp,save the date stamp
"x10 Custom Wish Spell, MAKE A WISH! Wish Spell Casting, Unique Wishes Spell Same Day, Make a Wish Spell, Custom Wish Spell Wish Ritual",https://www.etsy.com/listing/1707983085/x10-custom-wish-spell-make-a-wish-wish,BlissfulByVardus,https://www.etsy.com/shop/BlissfulByVardus,7300,13,94904,77,23,5 Mo.,9,4,926,Home & Living,,6,54,8.32,727,"wish spell,make a wish spell,custom wish spell,wish,spell,strong spell,white spell,black spell,powerful wish spell,money spell,lotery spell,love spell,sex spell",wish spell,make a wish spell,custom wish spell,wish,spell,strong spell,white spell,black spell,powerful wish spell,money spell,lotery spell,love spell,sex spell
"Personalized Name Blanket for Your Daughter, Customized Name Baby Blankets for Girls, Baby Name Blanket. Great Gift for Birthday, Christmas",https://www.etsy.com/listing/1545070328/personalized-name-blanket-for-your,TheLYShop,https://www.etsy.com/shop/TheLYShop,22,1660,36520,19935,4310,12 Mo.,12688,359,642160,Home & Living,,29,100,3.1,38626,"name blanket,personalized blanket,new baby girl,newborn baby gift,custom blanket,Christmas gift kids,new baby boy,Customized Blanket,baby blanket,girl blanket",name blanket,personalized blanket,new baby girl,newborn baby gift,custom blanket,Christmas gift kids,new baby boy,Customized Blanket,baby blanket,girl blanket,--,--,--
Full Set NCR Veteran Ranger Armor Fallout New Vegas,https://www.etsy.com/listing/1708997134/full-set-ncr-veteran-ranger-armor,AtomicDragonStore,https://www.etsy.com/shop/AtomicDragonStore,980,17,16660,101,18,5 Mo.,683,3,0,Clothing,,8,0,0.0,822,"fallout,fallout new vegas,fallout 4,fallout 76,fallout cosplay,fallout ncr,fallout armor,fallout merch",fallout,fallout new vegas,fallout 4,fallout 76,fallout cosplay,fallout ncr,fallout armor,fallout merch,--,--,--,--,--
Bridal Shower Gift | Personalized Wedding Gift Last Name Established Sign Anniversary Gift Engagement Gifts Valentines Day Gift | Wood Sign,https://www.etsy.com/listing/1128749687/bridal-shower-gift-personalized-wedding,3Dwoodworker,https://www.etsy.com/shop/3Dwoodworker,138,109,15042,3792,872,34 Mo.,4178,25,102146,Weddings,,122,100,3.74,50860,"Bridal Shower Gift,Wedding Gift,Last Name Establish,Established Sign,Anniversary Gift,Engagement Gifts,Valentines Day Gift,Wood Wedding Sign,Wooden Couple Gifts,Wood Wedding Decor,Unique Wedding Gft,Bridal Shower Sign,Last Name Sign",Bridal Shower Gift,Wedding Gift,Last Name Establish,Established Sign,Anniversary Gift,Engagement Gifts,Valentines Day Gift,Wood Wedding Sign,Wooden Couple Gifts,Wood Wedding Decor,Unique Wedding Gft,Bridal Shower Sign,Last Name Sign
