product_name,product_link,shop_name,shop_link,price,est_mo_sales,est_mo_revenue,est_total_sales,reviews,listing_age,favorites,avg_reviews,views,category,description_character_count,shop_age,visibility_score,conversion_rate,total_shop_sales,tags,tag_1,tag_2,tag_3,tag_4,tag_5,tag_6,tag_7,tag_8,tag_9,tag_10,tag_11,tag_12,tag_13,image_path
Sideways Necklace - Gold Initials - Christmas Gift - Gifts for Mom - Minimalist Look - Gold Necklace - Bridesmaids Gift - Letter Necklace,https://www.etsy.com/listing/1283892113/sideways-necklace-gold-initials,BELKYmood,https://www.etsy.com/shop/BELKYmood,36,1052,38345,26347,4633,25 Mo.,14377,185,612570,Jewelry,,62,100,4.3,221187,"custom name necklace,personalized gift,Initial Necklace,Initial Letter,Personalized jewelry,Holidays Gifts,Sideways Necklace,minimalist,Christmas Gift,For her,gift for her,gift for mom,gift for wife",custom name necklace,personalized gift,Initial Necklace,Initial Letter,Personalized jewelry,Holidays Gifts,Sideways Necklace,minimalist,Christmas Gift,For her,gift for her,gift for mom,gift for wife,../data/images/Sideways_Necklace___Gold_Initials___Christmas_Gift.png
Name Puzzle Personalized Busy Board Montessori Toy for Baby Girl- Wooden Puzzle with 1st Birthday or Baby Shower Gift,https://www.etsy.com/listing/1757169596/name-puzzle-personalized-busy-board,PandaPuzzleGifts,https://www.etsy.com/shop/PandaPuzzleGifts,60,636,38147,636,20,1 Mo.,1150,20,32775,Toys & Games,,8,100,2.01,1023,"Montessori Toys,3 Years Old,Baby Girl Gift,Personalized Puzzle,Custom Name Puzzle,Wooden Toys,Wooden Numbers,Puzzle With Shapes,name puzzle,Birthday Boy,Toys and Games,busy board,name puzzle for boy",Montessori Toys,3 Years Old,Baby Girl Gift,Personalized Puzzle,Custom Name Puzzle,Wooden Toys,Wooden Numbers,Puzzle With Shapes,name puzzle,Birthday Boy,Toys and Games,busy board,name puzzle for boy,../data/images/Name_Puzzle_Personalized_Busy_Board_Montessori_Toy.png
"Personalized Unique Name Necklace, One of a kind Gift",https://www.etsy.com/listing/1083074360/personalized-unique-name-necklace-one-of,RobertoGoldDiamond,https://www.etsy.com/shop/RobertoGoldDiamond,120,317,38040,11167,2678,35 Mo.,11388,76,326313,Jewelry,,85,100,3.42,107029,"name logo challenge,name logo ideas,name logo maker,name logo tiktok,gold name necklace,rose gold name,unique birthday gift,gift for her,necklace with name,necklace initials,necklace for women,valentines day gift,birthday gift her",name logo challenge,name logo ideas,name logo maker,name logo tiktok,gold name necklace,rose gold name,unique birthday gift,gift for her,necklace with name,necklace initials,necklace for women,valentines day gift,birthday gift her,../data/images/Personalized_Unique_Name_Necklace__One_of_a_kind_G.png
"Personalized Wooden Guitar Picks Box,Custom Engraved Guitar Pick Holder Storage,Guitar Plectrum Case Organizer,Gift for Guitarist Musician",https://www.etsy.com/listing/1601633065/personalized-wooden-guitar-picks,CraftsByAden,https://www.etsy.com/shop/CraftsByAden,17,2275,38015,22755,4632,10 Mo.,15789,463,474202,"Books, Movies & Music",,27,100,4.8,140438,"Guitar Pick Storage,Guitar Pick Holder,Customized Pick Case,Engraving Pick Case,Custom Guitar Picks,Gift for Guitarist,Gift for Musician,Guitar picks,wooden guitar picks,engrave guitar picks,guitar picks box,Guitar picks custom,guitar picks name",Guitar Pick Storage,Guitar Pick Holder,Customized Pick Case,Engraving Pick Case,Custom Guitar Picks,Gift for Guitarist,Gift for Musician,Guitar picks,wooden guitar picks,engrave guitar picks,guitar picks box,Guitar picks custom,guitar picks name,../data/images/Personalized_Wooden_Guitar_Picks_Box_Custom_Engrav.png
"Bridesmaid Proposal Gift Set for Elegant Will You Be My Bridesmaid Gift Box, Maid of Honor Proposal Gift and Floral Bridal Party Gifts (BE1)",https://www.etsy.com/listing/1665856813/bridesmaid-proposal-gift-set-for-elegant,SincerelyMeGift,https://www.etsy.com/shop/SincerelyMeGift,14,680,37867,5164,870,8 Mo.,5091,108,232418,Weddings,,90,100,2.22,126680,"Bridesmaid Proposal,Maid of Honor Gift,Matron of Honor Gift,Will You Be My,Bridesmaid Gift Box,Set For 4 5 6 7 8,Bridesmaid Thank You,Gift For MOH,Custom Personalized,Sage Green Lavender,Purple Blush White,Pink Gold Terracotta,Brown Natural Color",Bridesmaid Proposal,Maid of Honor Gift,Matron of Honor Gift,Will You Be My,Bridesmaid Gift Box,Set For 4 5 6 7 8,Bridesmaid Thank You,Gift For MOH,Custom Personalized,Sage Green Lavender,Purple Blush White,Pink Gold Terracotta,Brown Natural Color,../data/images/Bridesmaid_Proposal_Gift_Set_for_Elegant_Will_You_.png
"Large wood name sign, nursery name sign, boho nursery sign , above crib cut out, layered baby name sign, double baby name sign, cut out sign",https://www.etsy.com/listing/1127154191/large-wood-name-sign-nursery-name-sign,TwoAvocadosSigns,https://www.etsy.com/shop/TwoAvocadosSigns,160,235,37600,8084,2377,34 Mo.,18007,69,565870,Home & Living,,77,100,1.43,89552,"wood name sign,large name sign,layered name sign,cut out name sign,boho name sign,nursery name sign,baby name sign,outlined name sign,boho nursery,girl name sign,boy name sign,above crib sign,house of rounds",wood name sign,large name sign,layered name sign,cut out name sign,boho name sign,nursery name sign,baby name sign,outlined name sign,boho nursery,girl name sign,boy name sign,above crib sign,house of rounds,../data/images/Large_wood_name_sign__nursery_name_sign__boho_nurs.png
"Personalized Boys Piggy Bank, Wood Gift For Kids, Neutral Baby Shower Gift, Personalized Letter Bank, Boy Nursery Decor, Wooden Piggy Bank",https://www.etsy.com/listing/853685735/personalized-boys-piggy-bank-wood-gift,DrapelaWoodworks,https://www.etsy.com/shop/DrapelaWoodworks,44,860,37573,42317,8017,49 Mo.,54034,163,1064355,Home & Living,,108,100,3.98,149780,"Personalized Bank,Boys Piggy Bank,Wood gift for kids,wooden piggy bank,personalized letter,Boys baby shower,Baby boy gift,Letter Bank,Neutral shower gift,personalized baby,Wooden coin bank,Nursery Decor,Custom Piggy Bank",Personalized Bank,Boys Piggy Bank,Wood gift for kids,wooden piggy bank,personalized letter,Boys baby shower,Baby boy gift,Letter Bank,Neutral shower gift,personalized baby,Wooden coin bank,Nursery Decor,Custom Piggy Bank,../data/images/Personalized_Boys_Piggy_Bank__Wood_Gift_For_Kids__.png
"Fridge Photo Magnet, Personalized Gifts, Car Visor Clip, Gift for Dad, Personalized Picture Frame, Car Visor Clip, Grandparent",https://www.etsy.com/listing/1712362854/fridge-photo-magnet-personalized-gifts,MiraGiftsWorld,https://www.etsy.com/shop/MiraGiftsWorld,23,1595,36956,6380,1392,4 Mo.,7063,348,259374,Home & Living,,94,100,2.46,145105,"Photo Clip for Car,Photo Frame,Picture Frame,Gifts for Dad,Photo Visor Clip,First Time Dad Gift,Photo Sun Visor Clip,Photo Car Visor Clip,Fridge Photo Magnet,christmas gifts,gifts for her,gifts for him,gifts from daughter",Photo Clip for Car,Photo Frame,Picture Frame,Gifts for Dad,Photo Visor Clip,First Time Dad Gift,Photo Sun Visor Clip,Photo Car Visor Clip,Fridge Photo Magnet,christmas gifts,gifts for her,gifts for him,gifts from daughter,../data/images/Fridge_Photo_Magnet__Personalized_Gifts__Car_Visor.png
"Paw Print Name Bracelet, Personalized Elegant Dog Paw Bracelet, Minimalist Paw Bracelet, Name Bracelet, Pet Bracelet, Christmas Gift",https://www.etsy.com/listing/1604532965/paw-print-name-bracelet-personalized,ElaMinimalist,https://www.etsy.com/shop/ElaMinimalist,37,994,36778,9964,2086,10 Mo.,19605,208,415184,Jewelry,,46,100,2.4,83682,"Claw Bracelet,Claw Name Bracelet,Gold Bracelet,Gift for Mother,Dog Paw,cat paw,Gift for Girl,Personalized Jewelry,Minimalist Bracelet,Christmas gift,Cat Claw Bracelet,Handmade Jewelry,Sterling silver",Claw Bracelet,Claw Name Bracelet,Gold Bracelet,Gift for Mother,Dog Paw,cat paw,Gift for Girl,Personalized Jewelry,Minimalist Bracelet,Christmas gift,Cat Claw Bracelet,Handmade Jewelry,Sterling silver,../data/images/Paw_Print_Name_Bracelet__Personalized_Elegant_Dog_.png
"Stunning Rustic Shelf made from reclaimed Scaffold Board (Includes Brackets) Shelving, Bookshelf, Shelve",https://www.etsy.com/listing/842456977/stunning-rustic-shelf-made-from,UrbanReclamationCo,https://www.etsy.com/shop/UrbanReclamationCo,42,287,36629,26484,3439,50 Mo.,20298,68,776431,Home & Living,,50,100,3.41,50646,"Rustic Wooden Shelf,Rustic Kitchen Shelf,Rustic Home Decor,Rustic Wall Shelf,Kitchen Storage Home,Bathroom Storage,Wall shelves decor,bookshelf decor,Chunky wall shelf,Solid wood shelve,shelf industrial,Floating Shelf,Gift",Rustic Wooden Shelf,Rustic Kitchen Shelf,Rustic Home Decor,Rustic Wall Shelf,Kitchen Storage Home,Bathroom Storage,Wall shelves decor,bookshelf decor,Chunky wall shelf,Solid wood shelve,shelf industrial,Floating Shelf,Gift,../data/images/Stunning_Rustic_Shelf_made_from_reclaimed_Scaffold.png
